code;name;Код зони за ДБН головний;Код зони за ДСТУ головний;Код зони за ДБН другорядний;Код зони за ДСТУ другорядний;Код землі основний;Код основний;Код землі другорядний;Код другорядний
1130.2;Гуртожитки для студентів вищих навчальних закладів;"Г-3;Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Г-2;Ж-3;Ж-4";С-2;С-4;"03.02;02.04";"1.12.3;1.9";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1130.3;Гуртожитки для учнів навчальних закладів;"Г-3;Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Г-2;Ж-3;Ж-4";С-2;С-4;"03.02;02.04";"1.12.3;1.9";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1130.4;Будинки-інтернати для людей похилого віку та інвалідів;Г-5-2;Г-4;"Г-2;Г-5";Г-4;"03.03;02.04";1.12.5;;
1130.5;Будинки дитини та сирітські будинки;Г-5-2;Г-4;"Г-2;Г-5";Г-4;"03.03;02.04";1.12.5;;
1130.6;Будинки для біженців, притулки для бездомних;;;"Г-5;Г-5-2";Г-4;"03.03;02.04";1.12.5;;
1130.9;Будинки для колективного проживання інші;;;"Ж-2;Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7;С-2";"Ж-2;Ж-3;Ж-4;С-4";;;"02.03;02.10;03.06;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.9;1.13.2;1.13.3;1.12.8;1.12.2;3.3"
1211.1;Готелі;"Г-1;Г-2;КВТ-1";"Г-1;КВТ";"ІК-1;Ж-1;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;Г-4;Г-4-1;Г-4-2;Г-4-3;Г-6;ТР-1-2;ТР-1-4;С-2";"ІК;Г-3;Г-5;ТР-2;С-4";"02.04;03.08;07.01;03.17";"1.9;1.11;1.17;4.3;1.6;1.11.3;1.11.6;2.6";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1211.2;Мотелі;;;"ТР-1-2;Г-2";"ТР-2;Г-1";03.17;"4.3;1.6;1.11;1.11.3;1.11.6;1.17;2.6";"12.04;12.11";"1.14;1.14.2;3.2;3.2.2"
1211.3;Кемпінги;КВТ-2;КВТ;;;"03.08;07.01";"1.11;1.17;4.3";;
1211.4;Пансіонати;КВТ-1;КВТ;;;"03.08;07.01";"1.11;1.17;4.3";;
1211.5;Ресторани та бари;"Г-1;Г-2;Г-4-3";Г-1;"Г-4;Г-6;Р-2;КВТ;КВТ-1;КВТ-2;Ж-1;Ж-2;Ж-3;Ж-4;Ж-5;Ж-6;Ж-7;ІК-1;ТР-1-2;ТР-1-3";"Г-3;Г-5;Р-2;КВТ;Ж-1;Ж-2;Ж-3;Ж-4;ІК;ТР-2";"03.08;07.01;12.04;03.17";"1.11;1.17;4.3;1.14;1.14.2;3.2;3.2.2;1.6;1.11.3;1.11.6;2.6";;
1212.;Інші будівлі для тимчасового проживання;;;;;;;;
1212.1;Туристичні бази та гірські притулки;КВТ-2;КВТ;"Р-1;Р-1-1;Р-3-2";Р-1;07.01;"1.17;4.3";"04.01;04.02;04.03;04.11;10.08";"1.15;4.1"
1212.2;Дитячі та сімейні табори відпочинку;КВТ-2;КВТ;;;07.01;"1.17;4.3";;
1212.3;Центри та будинки відпочинку;КВТ-2;КВТ;;;07.01;"1.17;4.3";;
1212.9;Інші будівлі для тимчасового проживання, не класифіковані раніше;;;КВТ-2;КВТ;03.17;"4.3;1.6;1.11;1.11.3;1.11.6;1.17;2.6";07.01;"1.17;4.3"
1220.1;Будівлі органів державного та місцевого управління;"Г-1;Г-2";Г-1;Ж-7;Ж-4;03.01;1.12.1;;
1220.2;Будівлі фінансового обслуговування;"Г-1;Г-2";Г-1;"Ж-7;С-2";"Ж-4;С-4";03.09;1.11.3;"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1220.3;Будівлі органів правосуддя;"Г-1;Г-2";Г-1;Ж-7;Ж-4;03.01;1.12.1;;
1220.4;Будівлі закордонних представництв;"Г-1;Г-2";Г-1;"Ж-3;Ж-4;Ж-5;Ж-6;Ж-7";"Ж-3;Ж-4";03.06;1.12.8;;
